ANP,SECTOR,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,PROCEDENCIA,EDAD,FECHA,VISITAS_E1,VISITAS_E2A3,VISITAS_E3A30,FECHA_CORTE,TIPO_ESTADIA_PREDOMINANTE,ANIO,MES
SH Machupicchu,Acceso Amazónico,CUSCO,URUBAMBA,MACHUPICCHU,81304.0,NACIONAL,MENOR,20230831,202,0,0,20240527,1 día,2023,8
RN Tambopata,La Torre,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,EXTRANJERO,MENOR,20220930,0,1,0,20240527,2 a 3 días,2022,9
PN de Tingo María,Cueva de las Lechuzas,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,100606.0,NACIONAL,MENOR,20220930,792,0,0,20240527,1 día,2022,9
PN de Tingo María,Cueva de las Lechuzas,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,100606.0,NACIONAL,INFANTE,20230430,23,0,0,20240527,1 día,2023,4
PN Huascarán,Cashapampa,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,EXTRANJERO,ADULTO,20220731,227,0,0,20240527,1 día,2022,7
RN de Lachay,No especificado,LIMA,HUAURA,HUACHO,150801.0,LOCAL,MENOR,20220630,24,0,0,20240527,1 día,2022,6
RN de Paracas,No especificado,ICA,No especificado,No especificado,0.0,EXTRANJERO,MENOR,20230228,42,0,0,20240527,1 día,2023,2
RVS Los Pantanos de Villa,No especificado,LIMA,LIMA,CHORRILLOS,150108.0,EXTRANJERO,ADULTO,20221130,91,0,0,20240527,1 día,2022,11
SH Machupicchu,Ruta 01,CUSCO,URUBAMBA,MACHUPICCHU,81304.0,NACIONAL,ADULTO,20230731,0,0,244,20240527,3 a 30 días,2023,7
PN de Tingo María,Cueva de las Lechuzas,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,100606.0,NACIONAL,ADULTO MAYOR,20220930,179,0,0,20240527,1 día,2022,9
SH de la Pampa de Ayacucho,No especificado,AYACUCHO,HUAMANGA,QUINUA,50108.0,LOCAL,ADULTO MAYOR,20220630,304,0,0,20240527,1 día,2022,6
RN Allpahuayo Mishana,Irapay,LORETO,MAYNAS,SAN JUAN BAUTISTA,160113.0,LOCAL,ADULTO,20230630,63,0,0,20240527,1 día,2023,6
ZR Sierra del Divisor,No especificado,UCAYALI,CORONEL PORTILLO,CALLERIA,250101.0,LOCAL,ADULTO,20221231,43,0,0,20240527,1 día,2022,12
SN de Huayllay,No especificado,PASCO,PASCO,HUAYLLAY,190104.0,LOCAL,ADULTO,20231130,679,0,0,20240527,1 día,2023,11
SN los Manglares de Tumbes,No especificado,TUMBES,ZARUMILLA,ZARUMILLA,240301.0,NACIONAL,ADULTO MAYOR,20231130,9,0,0,20240527,1 día,2023,11
SH Bosque de Pomac,No especificado,LAMBAYEQUE,FERREÑAFE,PITIPO,140205.0,NACIONAL,MENOR,20230930,5,0,0,20240527,1 día,2023,9
RN Tambopata,La Torre,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,EXTRANJERO,ADULTO MAYOR,20221031,64,6,0,20240527,1 día,2022,10
RN de Lachay,No especificado,LIMA,HUAURA,HUACHO,150801.0,NACIONAL,ADULTO,20220228,303,0,0,20240527,1 día,2022,2
RN Tambopata,Sandoval,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,EXTRANJERO,ADULTO,20230531,1262,112,4,20240527,1 día,2023,5
SH Machupicchu,Acceso Amazónico,CUSCO,URUBAMBA,MACHUPICCHU,81304.0,NACIONAL,INFANTE,20230430,1,0,0,20240527,1 día,2023,4
RN Pacaya-Samiria,Nauta Caño,LORETO,LORETO,PARINARI,160302.0,NACIONAL,ADULTO,20230831,25,0,0,20240527,1 día,2023,8
PN de Cutervo,No especificado,CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPILLA,60612.0,LOCAL,ADULTO,20230731,5,0,0,20240527,1 día,2023,7
